Person_ID,Crash_Date,Crash_Location,Victim,Longitude,Latitude,Location
,03/18/2020 04:14:00 PM,REPORTED BY ROSEMONT POLICE DEPARTMENT,DRIVER,-87.88940645,41.99921279,POINT (-87.88940645 41.99921279)
O942990,08/21/2020 06:00:00 PM,5170 S ARCHER AVE,CYCLIST,-87.58719,41.808845,POINT (-87.58719 41.808845)
,05/14/2022 01:50:00 AM,28TH ST AT I-94 NB EX,DRIVER,-87.63075734,41.84300025,POINT (-87.63075734 41.84300025)
P287418,02/28/2022 11:18:00 PM,11100 S COTTAGE GROVE,PASSENGER,-87.61001554,41.69274215,POINT (-87.61001554 41.69274215)
,06/27/2021 04:55:00 PM,"REPORTED BY METRA POLICE, 1431 W 107TH ST",PASSENGER,-87.65831496,41.69944718,POINT (-87.65831496 41.69944718)
O1322611,04/23/2022 07:55:00 PM,5259 W IRVING PARK RD,MOTORCYCLIST,-87.75948311,41.95316454,POINT (-87.75948311 41.95316454)
O1243901,12/11/2021 12:14:00 AM,3608 47TH ST,DRIVER,-87.71429136,41.80809777,POINT (-87.71429136 41.80809777)
P257290,07/24/2021 02:40:00 AM,600 E 103RD,PASSENGER,-87.60882266,41.70750028,POINT (-87.60882266 41.70750028)
O1429684,09/28/2022 08:53:00 PM,3175 W 31ST STREET,DRIVER,-87.70475666,41.8371248,POINT (-87.70475666 41.8371248)
O1396578,08/10/2022 09:05:00 PM,6317 N CICERO AVE,PEDESTRIAN,-87.74819308,41.99616329,POINT (-87.74819308 41.99616329)
P179684,11/17/2019 03:17:00 AM,400 E RANDOLPH ST,DRIVER,-87.61725,41.884646,POINT (-87.61725 41.884646)
,06/19/2022 01:18:00 AM,1600 W 87TH ST,PASSENGER,-87.66305994,41.73579787,POINT (-87.66305994 41.73579787)
O1168111,08/23/2021 07:45:00 PM,1650 N ELSTON,DRIVER,-87.66325377,41.91197223,POINT (-87.66325377 41.91197223)
P329668,12/30/2022 02:29:00 AM,10957 S PERRY AVE,PASSENGER,-87.62556098,41.69484421,POINT (-87.62556098 41.69484421)
O867137,03/28/2020 06:47:00 PM,1305 N LARAMIE AVE,PEDESTRIAN,-87.75567,41.904267,POINT (-87.75567 41.904267)
P217370,09/06/2020 03:20:00 AM,1000 N LAKE SHORE DR NB,DRIVER,-87.60938,41.839965,POINT (-87.60938 41.839965)
O1493132,01/03/2023 05:36:00 AM,15 W 87TH ST,PEDESTRIAN,-87.62501116,41.73617002,POINT (-87.62501116 41.73617002)
O922720,10/20/2019 02:18:00 AM,3402 W IRVING PARK RD,CYCLIST,-87.74195,41.94999,POINT (-87.74195 41.94999)
O1303475,03/21/2022 07:50:00 PM,600 E MORGAN DR,DRIVER,-87.61094754,41.79325819,POINT (-87.61094754 41.79325819)
O1672183,10/01/2023 03:48:00 AM,5945 W NORTH AVE,DRIVER,-87.77499344,41.90915135,POINT (-87.77499344 41.90915135)
O1371918,07/04/2022 03:35:00 AM,3257 S PULASKI RD,PEDESTRIAN,-87.72412903,41.83343126,POINT (-87.72412903 41.83343126)
O703039,07/26/2019 06:55:00 PM,4715 S ASHLAND AVE,PEDESTRIAN,-87.664814,41.80811963,POINT (-87.664814 41.80811963)
O981641,10/22/2020 08:05:00 AM,699 S LAKE SHORE DR NB,DRIVER,-87.61510225,41.75102047,POINT (-87.61510225 41.75102047)
O1000584,11/26/2020 11:03:00 PM,8700 S COTTAGE GROVE AVE,PEDESTRIAN,-87.62058,41.887861,POINT (-87.62058 41.887861)
O1502328,01/20/2023 10:10:00 PM,1900 N ASHLAND AVE,DRIVER,-87.66794735,41.91614728,POINT (-87.66794735 41.91614728)
O1591682,06/05/2023 11:33:00 PM,2600 N PULASKI RD,CYCLIST,-87.72702494,41.92822191,POINT (-87.72702494 41.92822191)
O882908,05/12/2020 07:00:00 PM,3036 W IRVING PARK RD,DRIVER,-87.70465,41.954051,POINT (-87.70465 41.954051)
O928687,07/31/2020 12:12:00 PM,6438 N SHERIDAN RD,PEDESTRIAN,-87.71660108,41.8066509,POINT (-87.71660108 41.8066509)
O809138,11/21/2019 08:45:00 AM,4600 N LAKE SHORE DR,PEDESTRIAN,-87.64748,41.965718,POINT (-87.64748 41.965718)
O1184625,09/15/2021 07:20:00 PM,2947 W LUIS MUNOZ MARIN DR,DRIVER,-87.70193357,41.9034148,POINT (-87.70193357 41.9034148)
O1261870,01/12/2022 08:06:00 PM,6831 S STONY ISLAND AVE,PEDESTRIAN,-87.58582184,41.770584,POINT (-87.58582184 41.770584)
O1645344,08/23/2023 05:33:00 PM,2100 W CERMAK RD,PEDESTRIAN,-87.67841789,41.85224519,POINT (-87.67841789 41.85224519)
P306758,07/14/2022 09:35:00 PM,4331 N  MANNHEIM RD,PASSENGER,-87.884217,41.957599,POINT (-87.884217 41.957599)
